species,scale,CNDD,HNDDad,HNDDsap,r,n,ant.plant
POUTTH,5,-5.219555045,-0.00530593,-0.000377799,2.901129426,598,n
PRAIPA,5,-5.286847964,-0.004086191,0.004755265,2.905494948,164,n
PRUNGA,5,-5.804477096,0.003232161,0.003855254,2.858989425,327,n
PRUNSC,5,-5.46372666,0.000200426,-0.000377176,2.903279784,658,n
PSEUVE,5,-5.148775911,0.001153407,0.001727653,2.901367925,2492,n
PSYC01,5,-5.151232702,-0.025145362,0.002044197,3.019349696,164,n
PSYCLE,5,-4.159143352,-0.013634252,-0.001027192,2.926954682,212,n
PSYCMI,5,-3.344827799,0.021886755,0.00108203,2.467014835,99,n
PSYCRA,5,-6.88923381,-0.00941042,0.000746321,3.103759291,99,n
PTERBE,5,-5.574066445,0.002222083,0.00212564,2.874699231,748,n
PTERIN,5,-3.960676726,-0.005811032,-0.002600272,2.870412333,308,n
RANDDE,5,-4.65730226,-0.043490208,0.006806579,3.019705493,63,n
RANDDR,5,-4.769904015,0.017489047,0.006673261,2.672373442,231,n
RANDSC,5,-4.548371482,-0.002661045,0.006935984,2.762689548,2026,n
RHODSE,5,-4.623994907,-0.019067254,0.007483329,2.94051529,134,n
RHYT01,5,-5.458995392,0.008829562,-0.004029628,2.88755155,430,n
RYPACA,5,-4.823729525,0.006025803,0.004081522,2.832979039,2198,s
RYPAAM,5,-4.385505945,0.00368092,0.006909221,2.762673998,2362,s
SALAKO,5,-5.754540782,-0.011529278,0.000705265,2.933569706,46,n
SANDKO,5,-4.666520532,-0.017906271,0.010099688,2.923717173,462,n
SAURPO,5,-3.492766203,-0.00476392,0.04855705,2.458062155,162,n
SAURPU,5,-4.299724248,-0.035386914,0.050420505,2.7593734,65,n
SEMEAU,5,-4.293486749,0.043284829,-0.005999556,2.710889548,424,n
SEMEMA,5,-5.191860989,0.006898835,-0.001533073,2.865302243,27,n
SEMESC,5,-6.002998399,0.003389284,0.001736812,2.932354771,672,n
SEMEUN,5,-2.954638258,-0.007946238,0.006398316,2.817430993,2142,n
SIPHCE,5,-5.023010474,0.000107425,0.001827474,2.808941108,268,n
SLOASO,5,-5.249669596,-0.004962329,0.002644382,2.875359808,447,n
SOLAOL,5,-6.005628753,0.014808827,0.039157271,2.600518837,23,n
STEGHI,5,-4.43673968,0.003207897,0.008361092,2.794198164,477,n
STERAM,5,-5.663011641,0.005146173,0.008522514,2.797147681,1186,n
STERSC,5,-4.456241418,0.010442664,-0.002440895,2.85841875,120,n
STERSH,5,-4.125870364,0.006850869,0.006340206,2.74307085,1903,n
STREAS,5,-5.980101415,-0.001495329,-0.005967978,2.998024648,79,n
SYZY01,5,-3.26462756,-0.046861105,0.028928796,2.574266877,14,n
SYZYAM,5,-4.09331834,-0.0306519,0.028953348,2.630947151,107,n
SYZYFU,5,-5.334236727,-0.021368042,0.002053461,3.063098839,316,n
SYZYGO,5,-3.786222421,0.011127888,-0.011051919,2.851067118,1139,n
SYZYGP,5,-2.694623073,-0.047801477,0.004296924,2.696952789,381,n
SYZYHL,5,-4.989406158,0.007526544,-0.007832374,2.997926999,519,n
SYZYLO,5,-4.457326652,0.009849188,-0.007657765,3.012863115,2444,n
TABEPA,5,-5.009700659,-0.007153737,-0.012524085,3.070128311,688,n
TAREBU,5,-4.196135852,-0.021879839,0.038020641,2.358365993,107,n
TEIJAH,5,-4.487991845,0.004451845,-0.009298475,3.012927168,88,w
TEIJBO,5,-4.481204116,0.011748658,-0.013952943,3.114892997,350,w
TERMAR,5,-4.448307369,-0.036249016,0.050909746,2.538638566,32,n
TERMCO,5,-5.137601652,0.000380626,0.004828959,2.833921532,662,n
TERMIM,5,-6.423246607,0.00109359,0.001930103,2.942514386,275,n
TERMMI,5,-6.329483569,-0.00687282,-0.002565876,3.082082529,126,n
TERMSE,5,-5.280645997,0.012033036,-0.012630704,3.016135145,29,n
TERNCH,5,-4.425878889,0.007555668,0.001152941,2.853859625,2619,n
TIMORU,5,-4.882756592,0.005098713,0.018801684,2.720863517,601,n
TIMOTI,5,-4.464727953,-0.025448318,-0.005191606,3.4243247,34,n
TOONSU,5,-4.059139607,0.002766619,0.014519532,2.552101725,77,n
TRICPL,5,-3.027349839,-0.073120981,0.037671705,3.09830265,134,n
TRISAC,5,-4.562067036,-0.005289096,0.008033859,2.743716337,1033,n
TROPPH,5,-6.439288378,0.004976043,-0.000896869,2.947175253,85,n
VERSCA,5,-3.634004075,0.008267179,0.014197815,2.567696695,4564,n
VITECO,5,-5.781373226,0.008702967,-0.006419437,2.979671137,224,n
WENZDO,5,-4.803553343,-0.011056586,0.005885643,2.83403201,85,n
WRIGLA,5,-6.237909013,0.006238465,0.00335358,2.937696589,358,n
XANTPA,5,-5.97700524,0.001713985,0.003626829,2.918675648,1439,n
ZANTPL,5,-5.919519952,-0.058014503,0.01535912,3.112388643,31,n
ZIZIAN,5,-5.286943695,0.011257165,-0.001255547,2.869840427,1146,n
